16aa5209-4332-4907-b639-efcec6218f9a,ทีมดูแลความปลอดภัย,การควบคุมและดูแลระหว่างงาน,ดูแลและตรวจสอบความปลอดภัยระหว่างงาน รวมถึงการตอบสนองต่อสถานการณ์ฉุกเฉิน,In Progress,0ecd55da-0421-47c3-a357-d530a7e79600
e90bb7e6-0843-484a-9326-ae4fec4ef020,สตาฟดูแลทางเข้างาน,การจัดการกับการติดต่อและแนะนำ,จัดประชุมกับทีมงานเพื่อรับข้อมูลเกี่ยวกับการติดต่อและแนะนำตามทางเข้างาน เช่น วิธีการตอบคำถามหรือการช่วยเหลือผู้เข้าชมที่มีคำถามหรือข้อร้องเรียน,In Progress,d121822b-20d1-4487-9a1b-3878e0496322
e90bb7e6-0843-484a-9326-ae4fec4ef020,สตาฟดูแลความปลอดภัย,การจัดการกับสถานการณ์ฉุกเฉิน,จัดการประชุมเพื่อออกแบบแผนการจัดการกับสถานการณ์ฉุกเฉินที่อาจเกิดขึ้นในงาน รวมถึงการให้ความรู้และคำแนะนำให้กับสตาฟเกี่ยวกับขั้นตอนการปฏิบัติในกรณีฉุกเฉิน,In Progress,ac9f2469-6a17-4051-bfd9-9cc96077f28e
16aa5209-4332-4907-b639-efcec6218f9a,ทีมจัดการบูธ,การจัดการบูธระหว่างงาน,ดูแลและบริหารจัดการบูธระหว่างงาน รวมถึงการจัดกิจกรรมและการสื่อสารกับผู้เยี่ยมชม,In Progress,1e8c4287-5df3-471f-ac8e-2d8140936c5c
2255983a-080e-49fb-ae25-8fb5c528615d,สตาฟดูแลผู้เข้าร่วม,การดูแลและควบคุมการปฏิบัติตามแผน,ทีมสตาฟจะดูแลและควบคุมการปฏิบัติตามแผนที่ได้สอนและสร้างทักษะของผู้เข้าร่วม รวมถึงการตอบสนองต่อความต้องการและการแก้ไขปัญหา,In Progress,45b5a5d9-63c1-4071-b5ad-8938f0623bd9
80ff809d-2d54-40b9-8afc-63658420f3af,ทีมดูแลความปลอดภัย,การดูแลและควบคุมความปลอดภัยระหว่างงาน,ในงานนี้//comma// ทีมดูแลความปลอดภัยจะดูแลและควบคุมความปลอดภัยระหว่างงาน//comma// รวมถึงการตอบสนองต่อสถานการณ์ฉุกเฉินและการสื่อสารความปลอดภัยให้กับผู้เยี่ยมชม,In Progress,d0eafa02-058f-4cc5-aa8e-e49c14787807
80ff809d-2d54-40b9-8afc-63658420f3af,ทีมจัดบูธ,การดูแลและจัดการบูธระหว่างงาน,ทีมจัดบูธจะดูแลและจัดการบูธระหว่างงาน//comma// รวมถึงการจัดกิจกรรมสร้างสรรค์และการแสดงสินค้า,In Progress,7b4be1cd-282b-4c1d-aed6-a72426d0f754
16aa5209-4332-4907-b639-efcec6218f9a,ทีมดูแลทางเข้างาน,การดูแลและดูแลงานระหว่างงาน,มีประชุมประจำเพื่อติดตามและดูแลงานระหว่างงาน แก้ไขปัญหาและให้ความช่วยเหลือตามที่จําเป็น,In Progress,16ba706e-a95d-4396-b1e6-26701b840270
e90bb7e6-0843-484a-9326-ae4fec4ef020,สตาฟดูแลทางเข้างาน,การตรวจสอบการเชื่อมต่อและการไฟฟ้า,ตรวจสอบระบบการเชื่อมต่อและระบบไฟฟ้าที่เกี่ยวข้องกับทางเข้างาน เพื่อให้แน่ใจว่าทุกอุปกรณ์ที่ใช้งานที่ทางเข้าทำงานได้อย่างถูกต้อง,In Progress,2b63811d-26c8-43b7-8811-af02a54daff4
16aa5209-4332-4907-b639-efcec6218f9a,ทีมดูแลทางเข้างาน,การตรวจสอบทางเข้าและส่วนบริเวณโซนการจองบูธ,ตรวจสอบและเข้าร่วมประชุมเพื่อกำหนดการจัดเรียงบูธและพื้นที่ในงาน,In Progress,ab17a322-91b0-49f6-91d4-af9adfccd5bf
